ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-03,1451.69403363534,-1177.4643082075675,4204.634821552238,1451.69403363534,1451.69403363534,96.34235921635214,96.34235921635214,96.34235921635214,419.73133864043524,419.73133864043524,419.73133864043524,-323.38897942408306,-323.38897942408306,-323.38897942408306,0.0,0.0,0.0,1548.0363928516922
2014-01-04,1451.8121780342549,-1719.978243864021,3946.7816622283044,1451.8121780342549,1451.8121780342549,-399.1199504702802,-399.1199504702802,-399.1199504702802,21.36649982518326,21.36649982518326,21.36649982518326,-420.48645029546344,-420.48645029546344,-420.48645029546344,0.0,0.0,0.0,1052.6922275639747
2014-01-05,1451.93032243317,-1475.5523128880973,3899.0801146388953,1451.93032243317,1451.93032243317,-307.4163165123934,-307.4163165123934,-307.4163165123934,203.61296027562517,203.61296027562517,203.61296027562517,-511.02927678801854,-511.02927678801854,-511.02927678801854,0.0,0.0,0.0,1144.5140059207765
2014-01-06,1452.0484668320848,-1299.182066548509,4011.9184702101315,1452.0484668320848,1452.0484668320848,-182.19978862243786,-182.19978862243786,-182.19978862243786,411.6149411056158,411.6149411056158,411.6149411056158,-593.8147297280536,-593.8147297280536,-593.8147297280536,0.0,0.0,0.0,1269.848678209647
2014-01-07,1452.1666112309997,-2019.587746419987,3269.719006278761,1452.1666112309997,1452.1666112309997,-839.7949392545754,-839.7949392545754,-839.7949392545754,-172.00787204943109,-172.00787204943109,-172.00787204943109,-667.7870672051444,-667.7870672051444,-667.7870672051444,0.0,0.0,0.0,612.3716719764243
2014-01-09,1452.4029000288297,-1842.78648402972,3631.7950675391726,1452.4029000288297,1452.4029000288297,-629.8797916447187,-629.8797916447187,-629.8797916447187,156.07468268949646,156.07468268949646,156.07468268949646,-785.9544743342151,-785.9544743342151,-785.9544743342151,0.0,0.0,0.0,822.523108384111
2014-01-10,1452.5210444277445,-1478.6951318717292,3817.2884184270306,1452.5210444277445,1452.5210444277445,-409.2533379043153,-409.2533379043153,-409.2533379043153,419.73133864094984,419.73133864094984,419.73133864094984,-828.9846765452652,-828.9846765452652,-828.9846765452652,0.0,0.0,0.0,1043.2677065234293
2014-01-11,1452.6391888266596,-1929.7500653099373,3279.8461738972564,1452.6391888266596,1452.6391888266596,-839.5361266951387,-839.5361266951387,-839.5361266951387,21.36649982577979,21.36649982577979,21.36649982577979,-860.9026265209186,-860.9026265209186,-860.9026265209186,0.0,0.0,0.0,613.1030621315209
2014-01-13,1452.8754776244896,-1797.8996176646986,3904.453109961775,1452.8754776244896,1452.8754776244896,-479.9493936182678,-479.9493936182678,-479.9493936182678,411.6149411052628,411.6149411052628,411.6149411052628,-891.5643347235307,-891.5643347235307,-891.5643347235307,0.0,0.0,0.0,972.9260840062218
2014-01-14,1452.9936220234044,-2323.884051499379,3048.0854597989987,1452.9936220234044,1452.9936220234044,-1062.9824934629776,-1062.9824934629776,-1062.9824934629776,-172.0078720505939,-172.0078720505939,-172.0078720505939,-890.974621412384,-890.974621412384,-890.974621412384,0.0,0.0,0.0,390.01112856042687
2014-01-15,1453.1117664223195,-3359.188612990835,2181.600189475728,1453.1117664223195,1453.1117664223195,-1920.9865007786682,-1920.9865007786682,-1920.9865007786682,-1040.392550490044,-1040.392550490044,-1040.392550490044,-880.5939502886242,-880.5939502886242,-880.5939502886242,0.0,0.0,0.0,-467.87473435634865
2014-01-16,1453.2299108212344,-1985.9002745465327,3385.9265858239396,1453.2299108212344,1453.2299108212344,-705.2301704842672,-705.2301704842672,-705.2301704842672,156.07468268958408,156.07468268958408,156.07468268958408,-861.3048531738514,-861.3048531738514,-861.3048531738514,0.0,0.0,0.0,747.9997403369672
